ID;Link;Name;Type;Stage Parking lot days;Stage Ready for delivery days;Stage Delivery days;Stage Discovery days;Stage New days;Stage ALIGN days;Stage DISCOVER days;Stage CAPTURE days;Stage ROLL OUT days;Stage DELIVER days;Stage Done days;Stage ABANDONED days;Stage Accepted days;Stage discover days;Stage Declined days;Stage Planned days;Stage in progress days;Stage Rolout days;Stage align days;Stage deliver days;Stage capture days;Stage abandoned days;Stage roll out days;Stage Backlog days;Stage In Progress days;Stage Impact days;Stage Acceptance days;Stage Deliver days;Stage In design days;Stage Align days;Stage Discover days;Stage To Do days;Stage In test days;Stage In review days;Stage Release to PROD days;Stage In Design days;Stage Ready for Estimation days;Stage Blocked days;Stage Selected for Development days;Stage Cancelled days;Stage In Acceptance days;Stage In Refinement days;Stage Canceled days;Stage Ready for Development days;Stage Development finished days;Stage READY TO TEST days;Stage Testing in progress days;Stage Testing finished days;Stage Refinement days;Stage Solutioning days;Stage In construction days;Stage dev Finished days;Stage Not Started days;Stage Capture days;Stage Roll Out days;Stage Tech Design days;Stage NEW days;Stage Parking lot start;Stage Ready for delivery start;Stage Delivery start;Stage Discovery start;Stage New start;Stage ALIGN start;Stage DISCOVER start;Stage CAPTURE start;Stage ROLL OUT start;Stage DELIVER start;Stage Done start;Stage ABANDONED start;Stage Accepted start;Stage discover start;Stage Declined start;Stage Planned start;Stage in progress start;Stage Rolout start;Stage align start;Stage deliver start;Stage capture start;Stage abandoned start;Stage roll out start;Stage Backlog start;Stage In Progress start;Stage Impact start;Stage Acceptance start;Stage Deliver start;Stage In design start;Stage Align start;Stage Discover start;Stage To Do start;Stage In test start;Stage In review start;Stage Release to PROD start;Stage In Design start;Stage Ready for Estimation start;Stage Blocked start;Stage Selected for Development start;Stage Cancelled start;Stage In Acceptance start;Stage In Refinement start;Stage Canceled start;Stage Ready for Development start;Stage Development finished start;Stage READY TO TEST start;Stage Testing in progress start;Stage Testing finished start;Stage Refinement start;Stage Solutioning start;Stage In construction start;Stage dev Finished start;Stage Not Started start;Stage Capture start;Stage Roll Out start;Stage Tech Design start;Stage NEW start;Stage Parking lot recurrence;Stage Ready for delivery recurrence;Stage Delivery recurrence;Stage Discovery recurrence;Stage New recurrence;Stage ALIGN recurrence;Stage DISCOVER recurrence;Stage CAPTURE recurrence;Stage ROLL OUT recurrence;Stage DELIVER recurrence;Stage Done recurrence;Stage ABANDONED recurrence;Stage Accepted recurrence;Stage discover recurrence;Stage Declined recurrence;Stage Planned recurrence;Stage in progress recurrence;Stage Rolout recurrence;Stage align recurrence;Stage deliver recurrence;Stage capture recurrence;Stage abandoned recurrence;Stage roll out recurrence;Stage Backlog recurrence;Stage In Progress recurrence;Stage Impact recurrence;Stage Acceptance recurrence;Stage Deliver recurrence;Stage In design recurrence;Stage Align recurrence;Stage Discover recurrence;Stage To Do recurrence;Stage In test recurrence;Stage In review recurrence;Stage Release to PROD recurrence;Stage In Design recurrence;Stage Ready for Estimation recurrence;Stage Blocked recurrence;Stage Selected for Development recurrence;Stage Cancelled recurrence;Stage In Acceptance recurrence;Stage In Refinement recurrence;Stage Canceled recurrence;Stage Ready for Development recurrence;Stage Development finished recurrence;Stage READY TO TEST recurrence;Stage Testing in progress recurrence;Stage Testing finished recurrence;Stage Refinement recurrence;Stage Solutioning recurrence;Stage In construction recurrence;Stage dev Finished recurrence;Stage Not Started recurrence;Stage Capture recurrence;Stage Roll Out recurrence;Stage Tech Design recurrence;Stage NEW recurrence;Project name;Project key;Stage;Stage category;Priority;Labels;Components;CreatedDate;Version;Version release;Parent key;Parent name;Parent type;Parent status;Assignee name;LinksToOutwardKey;LinksToInwardKey;Timeoriginalestimate;Timeestimate;Timespent;AggreagateTimeoriginalestimate;AggreagateTimeestimate;AggreagateTimespent;Workratio;Sprints;Story points;Worklog seconds;Epic account;Epic team;Epic phase key;Initiative key;Initiative name;Initiative type;Initiative quarter;Initiative quarter start end date;Initiative domain;Initiative prio;Initiative townsquare;Initiative dependent on;Team Name;Level Name;Is Completed;Completed Start Date;Completed Year Month;Completed Year Quarter;Now Date;All Analysis Days;All Waiting for Development Days;All Development Days;All Development Days Round Up;All Development Days Round Up to 50;All Waiting for Deployment Days;All Deployment Days;All Cycle Time Days;All Cycle Time Days Round Up;All Cycle Time Days Round Up to 50;Is in Development;Is in Development or Completed;Epic quarter
DEMO66-12;;Q2 Security Hardening #9;Initiative;;;;;;;;;7.2;178.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-13 14:16:52;2026-01-20 18:54:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DELIVER;In Progress;Major;label-ae202d,label-55b296,label-6c63b8,label-abfc57;;2025-09-04T08:45:28.303+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q3 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;178.3;;;;;7.2;7.2;8.0;8.0;N;N;
DEMO66-13;;Q1 Developer Experience #9;Initiative;;;;;1.0;41.3;131.1;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-26 09:58:46;2026-01-13 08:34:16;2026-02-23 14:50:53;2026-02-27 09:53:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;CAPTURE;To Do;Major;label-18d476;;2025-09-04T08:42:07.613+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q3 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;172.4;;;;;;;;;;N;N;
DEMO66-14;;Q2 Analytics Platform #9;Initiative;13.2;;;;;70.0;102.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-23 14:50:23;;;;;2025-12-15 14:17:59;2025-09-04 06:41:19;2025-09-04 06:41:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Parking lot;To Do;Major;label-18d476;;2025-09-04T08:41:11.743+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q2 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;172.3;;;;;;;;;;N;N;
DEMO66-1;;Q4 Cost Optimization;Initiative;;;;;;;;;;185.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-09-04 06:35:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;DELIVER;In Progress;Major;label-04dc9a,label-abfc57;;2025-09-04T08:35:56.642+0200;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q2 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;185.5;;;;;;;;;N;N;
DEMO66-15;;Q3 Mobile First #9;Initiative;;;;;;;;;;102.3;83.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-09-04 06:35:03;2025-12-15 14:37:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Done;Done;Major;label-04dc9a,label-abfc57;;2025-09-04T08:35:03.315+0200;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q4 2025;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;Y;2025-12-15 14:37:14;2025-12;2025-Q4;2026-03-08T20:56:22.373+01:00;;102.3;;;;;;;;;N;Y;
DEMO66-16;;Q3 API Modernization #9;Initiative;;;;;;;;;;125.1;60.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-09-04 06:33:57;2026-01-07 09:19:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Done;Done;Major;label-04dc9a,label-abfc57;;2025-09-04T08:33:57.948+0200;;;;;;;Jamie Park;;;;;;;;;-1;;;0;;;;;;;Q4 2025;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;Y;2026-01-07 09:19:59;2026-01;2026-Q1;2026-03-08T20:56:22.373+01:00;;125.1;;;;;;;;;N;Y;
DEMO66-17;;Q4 Scale Infrastructure #9;Initiative;;;;;;;;;42.0;131.3;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-13 14:12:14;2025-09-04 06:31:15;2026-02-24 14:52:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Done;Done;Major;label-e0c6c7;;2025-09-04T08:31:15.436+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q1 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;Y;2026-02-24 14:52:30;2026-02;2026-Q1;2026-03-08T20:56:22.373+01:00;;131.3;;;;;42.0;42.0;42.0;42.0;N;Y;
DEMO66-18;;Q4 Cost Optimization #9;Initiative;;;;;;;;;42.0;131.3;12.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-01-13 14:15:04;2025-09-04 06:28:41;2026-02-24 14:52:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Done;Done;Major;label-e0c6c7;;2025-09-04T08:28:41.005+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q1 2026;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;Y;2026-02-24 14:52:40;2026-02;2026-Q1;2026-03-08T20:56:22.373+01:00;;131.3;;;;;42.0;42.0;42.0;42.0;N;Y;
DEMO66-19;;Q1 Data Migration #9;Initiative;;;;;;;;;;108.9;83.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-08-28 15:14:02;2025-12-15 13:24:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;Done;Done;Major;;;2025-08-28T17:14:02.053+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q4 2025;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;Y;2025-12-15 13:24:05;2025-12;2025-Q4;2026-03-08T20:56:22.373+01:00;;108.9;;;;;;;;;N;Y;
DEMO66-20;;Q2 Compliance Readiness #9;Initiative;;;;1.8;;;45.9;;;;;144.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025-08-28 15:13:52;;;2025-08-28 15:16:00;;;2025-08-30 09:48:50;;;;;2025-10-15 07:49:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onboarding Flow;DEMO66;ABANDONED;Done;Major;;;2025-08-28T17:13:52.348+0200;;;;;;;Morgan Evans;;;;;;;;;-1;;;0;;;;;;;Q4 2025;"{""start"":""2025-10-01"",""end"":""2025-12-31""}";;;;;Management;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;47.7;;;;;;;;;;N;N;
DEMO58-6;;Q1 Technical Debt Reduction;Initiative;;;;;;13.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-23 12:32:09;2026-02-23 13:16:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Customer Portal;DEMO58;ALIGN;In Progress;Minor;label-3579d0;;2026-02-23T13:32:09.645+0100;;;;;;;Riley Fisher;;;;;3600.0;;;3600.0;-1;;;3600;;;;;;;Q2 2026;"{""start"":""2026-07-01"",""end"":""2026-09-30""}";;;;;Planning;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;13.3;;;;;;;;;;N;N;
DEMO58-13;;Q3 User Growth #9;Initiative;;;;;7.0;10.9;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-18 08:00:16;2026-02-25 21:30:02;;2026-02-25 07:34:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Customer Portal;DEMO58;ALIGN;In Progress;Minor;label-3579d0;;2026-02-18T09:00:16.258+0100;;;;;;;Taylor Garcia;;;;;;;;;-1;;;0;;;;;;;Q2 2026;;;;;;Planning;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;10.9;;;;;;;;;;N;N;
DEMO58-14;;Q4 Integration Expansion #9;Initiative;;;;;27.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-02-09 09:42:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Customer Portal;DEMO58;New;To Do;Minor;;;2026-02-09T10:42:04.525+0100;;;;;;;Quinn Harris;;;;;;;;;-1;;;0;;;;;;;;;;;;;Planning;L3 - Initiatives;N;;;;2026-03-08T20:56:22.373+01:00;;;;;;;;;;;N;N;
